"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",10500,"Mia@GS 10:30PM ET",51.236,"GS"
"PF","Draymond Green",10000,"Mia@GS 10:30PM ET",44.095,"GS"
"PG","John Wall",9400,"Was@Chi 08:00PM ET",44.329,"Was"
"SG","Jimmy Butler",8300,"Was@Chi 08:00PM ET",39.171,"Chi"
"C","Pau Gasol",8200,"Was@Chi 08:00PM ET",40.279,"Chi"
"SG","Klay Thompson",8100,"Mia@GS 10:30PM ET",32.893,"GS"
"PF","Chris Bosh",7800,"Mia@GS 10:30PM ET",36.291,"Mia"
"C","Hassan Whiteside",7000,"Mia@GS 10:30PM ET",34.722,"Mia"
"SG","Bradley Beal",6900,"Was@Chi 08:00PM ET",33.029,"Was"
"C","Marcin Gortat",6700,"Was@Chi 08:00PM ET",31.805,"Was"
"SG","Dwyane Wade",6600,"Mia@GS 10:30PM ET",31.979,"Mia"
"SF","Otto Porter",6300,"Was@Chi 08:00PM ET",26.875,"Was"
"PG","Derrick Rose",6000,"Was@Chi 08:00PM ET",27.192,"Chi"
"PF","Taj Gibson",5900,"Was@Chi 08:00PM ET",21.121,"Chi"
"PG","Goran Dragic",5800,"Mia@GS 10:30PM ET",25.618,"Mia"
"PF","Nikola Mirotic",5700,"Was@Chi 08:00PM ET",24.164,"Chi"
"C","Joakim Noah",5400,"Was@Chi 08:00PM ET",23.970,"Chi"
"SF","Harrison Barnes",5400,"Mia@GS 10:30PM ET",23.429,"GS"
"SF","Andre Iguodala",5000,"Mia@GS 10:30PM ET",21.439,"GS"
"C","Andrew Bogut",4600,"Mia@GS 10:30PM ET",20.917,"GS"
"SG","Garrett Temple",4500,"Was@Chi 08:00PM ET",15.500,"Was"
"PF","Bobby Portis",4500,"Was@Chi 08:00PM ET",17.133,"Chi"
"SF","Jared Dudley",4400,"Was@Chi 08:00PM ET",18.110,"Was"
"SF","Luol Deng",4300,"Mia@GS 10:30PM ET",20.298,"Mia"
"PG","Shaun Livingston",4300,"Mia@GS 10:30PM ET",13.875,"GS"
"C","Festus Ezeli",4300,"Mia@GS 10:30PM ET",20.695,"GS"
"PG","Ramon Sessions",4200,"Was@Chi 08:00PM ET",18.436,"Was"
"SG","Gary Neal",4100,"Was@Chi 08:00PM ET",16.167,"Was"
"SG","Gerald Green",4100,"Mia@GS 10:30PM ET",18.815,"Mia"
"PF","Nene Hilario",3900,"Was@Chi 08:00PM ET",15.717,"Was"
"SG","Brandon Rush",3900,"Mia@GS 10:30PM ET",12.714,"GS"
"PG","Aaron Brooks",3800,"Was@Chi 08:00PM ET",15.710,"Chi"
"SG","Tyler Johnson",3700,"Mia@GS 10:30PM ET",16.898,"Mia"
"SG","Ian Clark",3600,"Mia@GS 10:30PM ET",8.977,"GS"
"SF","Tony Snell",3600,"Was@Chi 08:00PM ET",13.280,"Chi"
"PF","Kris Humphries",3500,"Was@Chi 08:00PM ET",14.102,"Was"
"SF","Justise Winslow",3500,"Mia@GS 10:30PM ET",14.618,"Mia"
"C","Marreese Speights",3400,"Mia@GS 10:30PM ET",11.367,"GS"
"SF","Doug McDermott",3300,"Was@Chi 08:00PM ET",12.809,"Chi"
"PG","Kirk Hinrich",3200,"Was@Chi 08:00PM ET",9.040,"Chi"
"SF","Kelly Oubre Jr.",3200,"Was@Chi 08:00PM ET",9.125,"Was"
"PG","Beno Udrih",3100,"Mia@GS 10:30PM ET",9.675,"Mia"
"SG","Alan Anderson",3000,"Was@Chi 08:00PM ET",0,"Was"
"C","Chris Andersen",3000,"Mia@GS 10:30PM ET",4.750,"Mia"
"PF","Drew Gooden",3000,"Was@Chi 08:00PM ET",9.944,"Was"
"PF","Amar'e Stoudemire",3000,"Mia@GS 10:30PM ET",8.500,"Mia"
"SF","Mike Dunleavy",3000,"Was@Chi 08:00PM ET",0,"Chi"
"PG","Leandro Barbosa",3000,"Mia@GS 10:30PM ET",11.970,"GS"
"PF","Udonis Haslem",3000,"Mia@GS 10:30PM ET",5.656,"Mia"
"PF","Jason Thompson",3000,"Mia@GS 10:30PM ET",6.528,"GS"
"PF","Josh McRoberts",3000,"Mia@GS 10:30PM ET",10.638,"Mia"
"SG","E'Twaun Moore",3000,"Was@Chi 08:00PM ET",8.900,"Chi"
"C","DeJuan Blair",3000,"Was@Chi 08:00PM ET",6.083,"Was"
"PF","Cameron Bairstow",3000,"Was@Chi 08:00PM ET",3.036,"Chi"
"SG","Jarell Eddie",3000,"Was@Chi 08:00PM ET",10.950,"Was"
"SG","Josh Richardson",3000,"Mia@GS 10:30PM ET",4.125,"Mia"
"PF","James Michael McAdoo",3000,"Mia@GS 10:30PM ET",5.200,"GS"
"PF","Jarnell Stokes",3000,"Mia@GS 10:30PM ET",1.250,"Mia"
"C","Cristiano Felicio",3000,"Was@Chi 08:00PM ET",1.750,"Chi"
"PF","Kevon Looney",3000,"Mia@GS 10:30PM ET",0,"GS"
